noise_level,replicate,method,success,vmax,km,r2,vmax_relative_error,km_relative_error,reason
0.1,4,lineweaver_burk,True,95.72676454458586,4.667213885130337,0.9420817601333675,0.04273235455414138,0.06655722297393254,
0.1,5,nonlinear,True,114.87856670419195,6.6658541725320335,0.9818690863668645,0.14878566704191953,0.3331708345064067,
0.1,5,lineweaver_burk,True,111.89460137934792,5.865575056711244,0.9798080210434569,0.11894601379347919,0.17311501134224888,
0.1,6,nonlinear,True,97.34192531289598,5.340874509106953,0.9883103120590124,0.02658074687104019,0.06817490182139067,
0.1,6,lineweaver_burk,True,103.59909826394514,5.611273424847616,0.9776733117929403,0.03599098263945137,0.12225468496952327,
0.1,7,nonlinear,True,113.10391130192173,7.038205495137003,0.9477546711442745,0.13103911301921728,0.4076410990274006,
0.1,7,lineweaver_burk,True,88.02452126074901,4.143838205004634,0.883435309923553,0.11975478739250989,0.17123235899907313,
0.1,8,nonlinear,True,108.97423545200833,5.361028461227031,0.9879306542399309,0.08974235452008329,0.07220569224540618,
0.1,8,lineweaver_burk,True,122.91518430870488,6.698073092926921,0.9669099446671446,0.2291518430870488,0.3396146185853842,
0.1,9,nonlinear,True,85.59965121220453,3.725891132440188,0.9636463781179496,0.14400348787795467,0.2548217735119624,
0.1,9,lineweaver_burk,True,87.7405927957404,4.088512250452969,0.9623452930692706,0.12259407204259602,0.18229754990940616,
0.1,10,nonlinear,True,100.87313209921818,5.442049918747963,0.9807264877723247,0.008731320992181822,0.0884099837495926,
0.1,10,lineweaver_burk,True,109.00136485131064,5.9189285664417275,0.9671381136376073,0.0900136485131064,0.1837857132883455,
0.1,11,nonlinear,True,101.68127708410104,5.036134985200309,0.9475388639231134,0.016812770841010405,0.0072269970400618885,
0.1,11,lineweaver_burk,True,100.46505265684499,5.280609540908741,0.9450994301302483,0.004650526568449891,0.056121908181748205,
0.1,12,nonlinear,True,98.06337519453476,4.164716649195264,0.9820996093866375,0.01936624805465243,0.1670566701609472,
0.1,12,lineweaver_burk,True,101.20881614957193,4.714761506990169,0.9798357949912843,0.012088161495719306,0.057047698601966165,
0.1,13,nonlinear,True,104.14823587019833,5.541461118272318,0.9767807474374368,0.04148235870198334,0.10829222365446363,
0.1,13,lineweaver_burk,True,106.29912462635734,5.673608842996527,0.9759409805624488,0.0629912462635734,0.13472176859930532,
0.1,14,nonlinear,True,103.84402310357855,4.828886673671967,0.9556422795533084,0.038440231035785505,0.03422266526560662,
0.1,14,lineweaver_burk,True,93.8877434210419,4.4364396639381445,0.9322408669445852,0.06112256578958096,0.1127120672123711,
0.1,15,nonlinear,True,96.81747987321756,4.684621881076188,0.96445481394672,0.03182520126782436,0.06307562378476242,
0.1,15,lineweaver_burk,True,93.34292695483906,4.635848644907864,0.9599885334799225,0.06657073045160943,0.07283027101842716,
0.1,16,nonlinear,True,105.9375837537957,4.6233667687223186,0.9606827459504574,0.05937583753795707,0.07532664625553628,
0.1,16,lineweaver_burk,True,115.2940458057656,5.962919668190478,0.9508269616622806,0.15294045805765605,0.19258393363809567,
0.1,17,nonlinear,True,100.09888492212846,5.107913300346466,0.9846775525613432,0.0009888492212846245,0.02158266006929317,
0.1,17,lineweaver_burk,True,104.80496520807479,5.151771810956753,0.976345549617096,0.04804965208074791,0.03035436219135068,
0.1,18,nonlinear,True,106.87923785380626,5.208129122907481,0.958691388284479,0.0687923785380626,0.04162582458149622,
0.1,18,lineweaver_burk,True,114.96806715483231,6.194427439607347,0.9523369502661536,0.14968067154832312,0.2388854879214694,
0.1,19,nonlinear,True,90.53646323844562,4.3437592548426585,0.9759205773982947,0.0946353676155438,0.1312481490314683,
0.1,19,lineweaver_burk,True,90.75644199335072,4.660942131415607,0.9743122490066066,0.0924355800664928,0.06781157371687865,
0.1,20,nonlinear,True,114.98289890594071,7.049243643413969,0.9592778720891899,0.14982898905940714,0.40984872868279376,
0.1,20,lineweaver_burk,True,93.59484963574121,4.202880005742681,0.9186279365884704,0.06405150364258788,0.15942399885146372,
